a1	a2	a3	a4	a5	a6	a7	a8	a9	a10	target
-1.0	-1.0	-1.0	0.0	0.0	-1.0	0.0	0.0	0.0	1.0	-0.6200000047683716
1.0	-1.0	-1.0	0.0	0.0	-1.0	1.0	1.0	1.0	0.0	-5.920000076293945
1.0	-1.0	-1.0	1.0	0.0	1.0	0.0	-1.0	-1.0	1.0	0.5099999904632568
-1.0	1.0	-1.0	0.0	0.0	1.0	-1.0	1.0	-1.0	0.0	3.3299999237060547
1.0	-1.0	-1.0	0.0	0.0	-1.0	0.0	-1.0	1.0	0.0	-7.829999923706055
1.0	-1.0	-1.0	1.0	1.0	0.0	1.0	1.0	-1.0	-1.0	1.8799999952316284
-1.0	-1.0	1.0	-1.0	1.0	-1.0	1.0	1.0	1.0	0.0	3.640000104904175
-1.0	-1.0	0.0	0.0	1.0	0.0	-1.0	-1.0	0.0	1.0	1.940000057220459
1.0	1.0	1.0	0.0	-1.0	1.0	-1.0	-1.0	-1.0	1.0	-5.599999904632568
1.0	0.0	-1.0	-1.0	1.0	0.0	0.0	-1.0	1.0	0.0	-0.8999999761581421
-1.0	-1.0	0.0	-1.0	0.0	1.0	0.0	-1.0	1.0	-1.0	-0.8899999856948853
-1.0	0.0	0.0	1.0	1.0	1.0	0.0	-1.0	1.0	-1.0	6.440000057220459
-1.0	0.0	0.0	0.0	1.0	-1.0	1.0	0.0	1.0	-1.0	4.699999809265137
1.0	0.0	0.0	-1.0	0.0	0.0	0.0	1.0	-1.0	-1.0	-4.5
-1.0	1.0	1.0	0.0	1.0	-1.0	1.0	0.0	0.0	1.0	9.779999732971191
1.0	0.0	1.0	-1.0	1.0	0.0	0.0	0.0	1.0	-1.0	-0.7599999904632568
-1.0	-1.0	-1.0	-1.0	-1.0	0.0	1.0	1.0	-1.0	0.0	-3.180000066757202
-1.0	1.0	1.0	0.0	-1.0	0.0	0.0	-1.0	1.0	1.0	7.179999828338623
1.0	0.0	-1.0	1.0	-1.0	1.0	-1.0	1.0	-1.0	-1.0	-5.659999847412109
-1.0	-1.0	-1.0	-1.0	-1.0	0.0	-1.0	0.0	0.0	1.0	-1.5399999618530273
-1.0	-1.0	-1.0	1.0	0.0	1.0	1.0	0.0	-1.0	0.0	0.38999998569488525
-1.0	0.0	-1.0	0.0	-1.0	0.0	1.0	0.0	-1.0	-1.0	-1.5700000524520874
1.0	-1.0	0.0	-1.0	0.0	1.0	0.0	1.0	0.0	-1.0	0.8799999952316284
1.0	-1.0	-1.0	0.0	0.0	0.0	1.0	-1.0	1.0	-1.0	-2.880000114440918
-1.0	0.0	1.0	1.0	-1.0	1.0	0.0	0.0	-1.0	0.0	5.449999809265137
1.0	-1.0	1.0	0.0	-1.0	1.0	1.0	1.0	1.0	0.0	-3.299999952316284
1.0	-1.0	1.0	1.0	1.0	-1.0	1.0	1.0	-1.0	0.0	1.149999976158142
-1.0	1.0	0.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	4.610000133514404
1.0	0.0	0.0	0.0	-1.0	-1.0	0.0	-1.0	0.0	1.0	-7.389999866485596
-1.0	0.0	0.0	-1.0	1.0	-1.0	0.0	0.0	-1.0	1.0	3.490000009536743
1.0	0.0	1.0	-1.0	-1.0	0.0	-1.0	0.0	0.0	0.0	-4.940000057220459
-1.0	0.0	-1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.12999999523162842
-1.0	0.0	-1.0	-1.0	0.0	1.0	-1.0	0.0	-1.0	-1.0	-0.5
1.0	1.0	1.0	-1.0	0.0	1.0	-1.0	-1.0	1.0	-1.0	-3.359999895095825
-1.0	-1.0	-1.0	1.0	1.0	0.0	-1.0	0.0	0.0	0.0	-2.3499999046325684
1.0	0.0	1.0	1.0	-1.0	1.0	1.0	-1.0	0.0	1.0	-1.2200000286102295
1.0	-1.0	1.0	1.0	-1.0	-1.0	-1.0	1.0	-1.0	1.0	-8.729999542236328
-1.0	-1.0	1.0	0.0	-1.0	0.0	-1.0	-1.0	1.0	1.0	1.4299999475479126
1.0	0.0	1.0	-1.0	0.0	1.0	0.0	1.0	0.0	1.0	-0.7900000214576721
1.0	-1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	-2.5
-1.0	1.0	-1.0	-1.0	0.0	0.0	0.0	-1.0	0.0	0.0	6.010000228881836
1.0	1.0	-1.0	0.0	0.0	1.0	-1.0	1.0	1.0	1.0	-1.5700000524520874
-1.0	-1.0	1.0	0.0	0.0	1.0	-1.0	-1.0	-1.0	0.0	0.8199999928474426
-1.0	1.0	1.0	1.0	1.0	1.0	1.0	-1.0	-1.0	0.0	10.649999618530273
1.0	0.0	-1.0	-1.0	0.0	0.0	-1.0	-1.0	1.0	1.0	-4.039999961853027
1.0	-1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	-1.0	5.539999961853027
1.0	0.0	-1.0	0.0	1.0	-1.0	0.0	-1.0	0.0	1.0	-5.480000019073486
-1.0	-1.0	1.0	-1.0	-1.0	0.0	0.0	-1.0	-1.0	0.0	1.2400000095367432
-1.0	1.0	1.0	0.0	0.0	-1.0	-1.0	0.0	0.0	-1.0	7.539999961853027
1.0	1.0	0.0	-1.0	0.0	-1.0	-1.0	0.0	1.0	-1.0	-6.519999980926514
-1.0	0.0	0.0	0.0	-1.0	1.0	1.0	-1.0	0.0	1.0	3.3499999046325684
-1.0	-1.0	1.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	1.5
-1.0	-1.0	0.0	-1.0	0.0	1.0	0.0	0.0	-1.0	-1.0	1.2599999904632568
1.0	-1.0	1.0	-1.0	0.0	-1.0	1.0	1.0	1.0	-1.0	-4.710000038146973
1.0	1.0	-1.0	0.0	-1.0	1.0	1.0	0.0	0.0	0.0	-0.6299999952316284
-1.0	-1.0	-1.0	-1.0	0.0	0.0	-1.0	1.0	0.0	-1.0	-1.5700000524520874
-1.0	1.0	-1.0	0.0	1.0	0.0	0.0	0.0	-1.0	1.0	5.989999771118164
1.0	-1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	-3.259999990463257
1.0	1.0	-1.0	-1.0	0.0	0.0	-1.0	0.0	1.0	1.0	-4.230000019073486
1.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1.0	1.0	-0.8700000047683716
1.0	0.0	0.0	-1.0	-1.0	1.0	-1.0	-1.0	0.0	-1.0	-2.7699999809265137
-1.0	1.0	1.0	0.0	0.0	1.0	-1.0	1.0	0.0	1.0	12.09000015258789
1.0	-1.0	-1.0	-1.0	0.0	1.0	1.0	-1.0	0.0	-1.0	-0.46000000834465027
-1.0	0.0	1.0	1.0	1.0	1.0	1.0	-1.0	0.0	0.0	7.389999866485596
-1.0	0.0	-1.0	1.0	0.0	0.0	0.0	-1.0	-1.0	0.0	-0.05999999865889549
-1.0	1.0	0.0	0.0	1.0	1.0	-1.0	0.0	1.0	-1.0	8.550000190734863
-1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	5.0
-1.0	0.0	-1.0	1.0	-1.0	0.0	-1.0	-1.0	-1.0	1.0	-1.690000057220459
-1.0	-1.0	-1.0	0.0	0.0	-1.0	-1.0	0.0	1.0	1.0	-2.809999942779541
1.0	-1.0	-1.0	1.0	-1.0	1.0	1.0	1.0	-1.0	-1.0	-3.6500000953674316
1.0	0.0	-1.0	-1.0	1.0	0.0	-1.0	-1.0	1.0	-1.0	-1.3600000143051147
-1.0	-1.0	-1.0	1.0	1.0	1.0	-1.0	1.0	1.0	-1.0	0.20000000298023224
1.0	-1.0	-1.0	1.0	-1.0	1.0	1.0	0.0	-1.0	-1.0	-2.059999942779541
-1.0	0.0	1.0	-1.0	1.0	0.0	-1.0	0.0	1.0	-1.0	5.230000019073486
1.0	1.0	0.0	0.0	1.0	1.0	-1.0	-1.0	1.0	0.0	0.05999999865889549
-1.0	-1.0	1.0	0.0	0.0	1.0	0.0	0.0	-1.0	-1.0	1.9700000286102295
1.0	1.0	-1.0	-1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.8299999833106995
1.0	1.0	-1.0	-1.0	-1.0	-1.0	0.0	1.0	-1.0	-1.0	-6.550000190734863
1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.6399999856948853
1.0	1.0	-1.0	0.0	1.0	-1.0	1.0	1.0	1.0	1.0	2.2699999809265137
1.0	1.0	1.0	1.0	-1.0	1.0	1.0	-1.0	-1.0	1.0	-1.940000057220459
-1.0	-1.0	-1.0	0.0	1.0	0.0	1.0	-1.0	0.0	0.0	1.590000033378601
1.0	-1.0	-1.0	1.0	-1.0	-1.0	0.0	0.0	1.0	0.0	-6.659999847412109
-1.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	-0.20000000298023224
1.0	1.0	-1.0	1.0	0.0	-1.0	1.0	0.0	-1.0	0.0	-1.8600000143051147
-1.0	0.0	1.0	-1.0	0.0	-1.0	1.0	1.0	0.0	-1.0	7.010000228881836
1.0	0.0	1.0	-1.0	0.0	0.0	1.0	-1.0	-1.0	0.0	-3.0
-1.0	1.0	1.0	1.0	0.0	1.0	0.0	-1.0	0.0	0.0	7.159999847412109
-1.0	0.0	0.0	-1.0	1.0	1.0	-1.0	1.0	-1.0	1.0	3.619999885559082
-1.0	0.0	0.0	1.0	-1.0	-1.0	0.0	1.0	0.0	1.0	3.049999952316284
1.0	0.0	0.0	-1.0	-1.0	1.0	0.0	-1.0	-1.0	0.0	-3.0
-1.0	1.0	-1.0	0.0	1.0	1.0	0.0	1.0	0.0	-1.0	3.3399999141693115
-1.0	1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	0.0	-1.0	4.0
1.0	-1.0	-1.0	0.0	0.0	1.0	1.0	-1.0	0.0	-1.0	-2.240000009536743
1.0	1.0	0.0	-1.0	1.0	-1.0	-1.0	0.0	0.0	-1.0	-3.1600000858306885
-1.0	-1.0	-1.0	0.0	-1.0	1.0	0.0	-1.0	1.0	1.0	-2.9600000381469727
1.0	-1.0	0.0	1.0	-1.0	-1.0	-1.0	1.0	0.0	0.0	-7.639999866485596
-1.0	0.0	-1.0	-1.0	-1.0	0.0	-1.0	0.0	0.0	0.0	-1.659999966621399
-1.0	0.0	0.0	-1.0	1.0	-1.0	-1.0	1.0	-1.0	1.0	4.0
1.0	0.0	1.0	1.0	-1.0	-1.0	1.0	1.0	-1.0	0.0	-5.909999847412109
1.0	-1.0	-1.0	1.0	1.0	-1.0	0.0	-1.0	-1.0	0.0	-2.5199999809265137
1.0	-1.0	1.0	-1.0	-1.0	-1.0	0.0	1.0	1.0	1.0	-7.28000020980835
1.0	1.0	1.0	0.0	-1.0	-1.0	-1.0	1.0	0.0	-1.0	-8.109999656677246
-1.0	-1.0	1.0	1.0	1.0	-1.0	0.0	0.0	-1.0	0.0	5.929999828338623
1.0	-1.0	0.0	-1.0	0.0	0.0	-1.0	0.0	-1.0	-1.0	-4.010000228881836
-1.0	0.0	0.0	1.0	0.0	-1.0	0.0	-1.0	-1.0	0.0	1.5199999809265137
-1.0	-1.0	-1.0	0.0	-1.0	1.0	-1.0	-1.0	-1.0	0.0	-4.78000020980835
-1.0	-1.0	0.0	-1.0	0.0	1.0	0.0	1.0	-1.0	-1.0	1.409999966621399
-1.0	1.0	-1.0	-1.0	1.0	1.0	0.0	-1.0	-1.0	-1.0	4.119999885559082
1.0	0.0	-1.0	1.0	-1.0	1.0	0.0	1.0	1.0	0.0	-4.0
1.0	0.0	1.0	-1.0	0.0	-1.0	-1.0	0.0	-1.0	1.0	-6.860000133514404
1.0	-1.0	0.0	1.0	0.0	0.0	-1.0	-1.0	-1.0	1.0	-3.880000114440918
1.0	-1.0	0.0	1.0	-1.0	-1.0	0.0	-1.0	0.0	-1.0	-9.779999732971191
-1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	-1.0	8.09000015258789
-1.0	1.0	-1.0	1.0	-1.0	0.0	1.0	0.0	-1.0	-1.0	3.109999895095825
1.0	-1.0	0.0	1.0	0.0	-1.0	0.0	-1.0	1.0	1.0	-5.519999980926514
1.0	-1.0	1.0	1.0	0.0	1.0	1.0	1.0	-1.0	-1.0	-0.8500000238418579
-1.0	-1.0	1.0	0.0	1.0	-1.0	-1.0	1.0	1.0	0.0	0.3700000047683716
-1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	-1.0	-1.0	2.440000057220459
1.0	-1.0	1.0	1.0	-1.0	1.0	0.0	1.0	0.0	-1.0	-5.929999828338623
1.0	-1.0	-1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	-2.5799999237060547
1.0	1.0	0.0	-1.0	-1.0	0.0	-1.0	-1.0	0.0	0.0	-8.390000343322754
-1.0	0.0	-1.0	-1.0	0.0	1.0	1.0	-1.0	-1.0	-1.0	0.4399999976158142
-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	-1.0	-1.0	2.049999952316284
1.0	1.0	-1.0	-1.0	0.0	0.0	0.0	-1.0	1.0	-1.0	-2.9200000762939453
1.0	1.0	-1.0	-1.0	-1.0	0.0	1.0	1.0	1.0	1.0	-3.9000000953674316
-1.0	1.0	-1.0	1.0	0.0	-1.0	0.0	1.0	-1.0	0.0	4.489999771118164
-1.0	0.0	-1.0	0.0	0.0	1.0	1.0	-1.0	-1.0	-1.0	1.850000023841858
1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-2.930000066757202
1.0	-1.0	-1.0	-1.0	0.0	-1.0	1.0	1.0	0.0	1.0	-6.300000190734863
1.0	0.0	1.0	-1.0	1.0	-1.0	1.0	0.0	0.0	-1.0	-1.399999976158142
-1.0	-1.0	0.0	-1.0	1.0	0.0	-1.0	1.0	0.0	-1.0	1.149999976158142
1.0	1.0	0.0	-1.0	-1.0	-1.0	1.0	-1.0	-1.0	-1.0	-4.989999771118164
-1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	-1.0	-1.0	3.180000066757202
-1.0	1.0	0.0	1.0	-1.0	0.0	-1.0	-1.0	0.0	0.0	3.549999952316284
1.0	-1.0	1.0	-1.0	0.0	0.0	-1.0	-1.0	-1.0	0.0	-2.9200000762939453
-1.0	0.0	-1.0	0.0	0.0	1.0	-1.0	1.0	-1.0	-1.0	-0.11999999731779099
-1.0	1.0	-1.0	-1.0	0.0	1.0	1.0	1.0	0.0	1.0	3.180000066757202
1.0	0.0	1.0	1.0	1.0	-1.0	-1.0	1.0	1.0	-1.0	-1.2599999904632568
1.0	-1.0	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	1.0	-10.8100004196167
1.0	1.0	0.0	0.0	0.0	-1.0	0.0	-1.0	1.0	0.0	-4.940000057220459
1.0	0.0	0.0	1.0	0.0	-1.0	1.0	0.0	1.0	0.0	-3.119999885559082
1.0	-1.0	0.0	-1.0	0.0	1.0	0.0	1.0	1.0	-1.0	-1.6399999856948853
1.0	-1.0	0.0	0.0	0.0	1.0	-1.0	-1.0	1.0	1.0	-1.5299999713897705
-1.0	-1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.4500000476837158
-1.0	0.0	1.0	1.0	0.0	1.0	1.0	-1.0	0.0	-1.0	5.349999904632568
-1.0	1.0	0.0	-1.0	0.0	1.0	0.0	0.0	1.0	0.0	7.909999847412109
1.0	-1.0	-1.0	1.0	1.0	0.0	1.0	1.0	-1.0	0.0	1.5399999618530273
1.0	-1.0	-1.0	1.0	-1.0	0.0	-1.0	0.0	0.0	-1.0	-5.46999979019165
1.0	0.0	-1.0	1.0	-1.0	1.0	-1.0	0.0	-1.0	-1.0	-4.929999828338623
-1.0	-1.0	-1.0	0.0	0.0	-1.0	0.0	-1.0	0.0	-1.0	-1.659999966621399
1.0	0.0	0.0	1.0	0.0	0.0	-1.0	1.0	-1.0	-1.0	-3.930000066757202
-1.0	0.0	1.0	1.0	-1.0	1.0	1.0	1.0	-1.0	1.0	4.639999866485596
1.0	0.0	-1.0	-1.0	0.0	0.0	1.0	0.0	-1.0	-1.0	-0.019999999552965164
-1.0	1.0	1.0	-1.0	1.0	1.0	-1.0	0.0	0.0	0.0	9.670000076293945
1.0	1.0	1.0	-1.0	0.0	1.0	0.0	1.0	1.0	1.0	-0.5099999904632568
1.0	0.0	-1.0	1.0	1.0	-1.0	-1.0	0.0	-1.0	1.0	-1.75
1.0	0.0	1.0	0.0	-1.0	-1.0	1.0	1.0	-1.0	-1.0	-6.820000171661377
-1.0	-1.0	1.0	1.0	-1.0	-1.0	0.0	1.0	0.0	0.0	2.1500000953674316
-1.0	0.0	1.0	1.0	-1.0	1.0	1.0	0.0	1.0	1.0	5.21999979019165
-1.0	1.0	0.0	1.0	1.0	1.0	-1.0	-1.0	-1.0	0.0	5.199999809265137
-1.0	0.0	-1.0	0.0	0.0	0.0	-1.0	-1.0	-1.0	1.0	0.14000000059604645
-1.0	1.0	1.0	0.0	1.0	1.0	-1.0	1.0	1.0	-1.0	9.149999618530273
-1.0	0.0	0.0	-1.0	0.0	0.0	0.0	1.0	1.0	-1.0	1.6299999952316284
-1.0	0.0	-1.0	0.0	-1.0	1.0	0.0	-1.0	0.0	-1.0	2.0999999046325684
-1.0	-1.0	1.0	-1.0	1.0	1.0	0.0	-1.0	-1.0	-1.0	2.680000066757202
1.0	-1.0	-1.0	-1.0	0.0	1.0	1.0	1.0	1.0	-1.0	0.15000000596046448
1.0	0.0	0.0	-1.0	-1.0	-1.0	-1.0	0.0	1.0	-1.0	-9.640000343322754
1.0	1.0	-1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	4.920000076293945
1.0	1.0	-1.0	0.0	0.0	0.0	1.0	-1.0	1.0	1.0	0.15000000596046448
1.0	-1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	-1.0	-2.75
1.0	1.0	-1.0	-1.0	0.0	0.0	-1.0	1.0	0.0	0.0	-5.860000133514404
1.0	1.0	-1.0	-1.0	-1.0	1.0	-1.0	-1.0	0.0	1.0	-2.990000009536743
-1.0	-1.0	-1.0	0.0	0.0	1.0	0.0	0.0	-1.0	1.0	2.2300000190734863
-1.0	0.0	-1.0	1.0	1.0	-1.0	1.0	-1.0	1.0	-1.0	0.8100000023841858
-1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	-1.0	1.0	7.570000171661377
1.0	0.0	0.0	0.0	1.0	-1.0	-1.0	1.0	-1.0	0.0	-3.0199999809265137
1.0	-1.0	-1.0	0.0	1.0	0.0	1.0	1.0	-1.0	1.0	0.3799999952316284
1.0	-1.0	0.0	1.0	1.0	0.0	0.0	-1.0	0.0	-1.0	-2.3499999046325684
1.0	-1.0	-1.0	1.0	1.0	-1.0	-1.0	0.0	0.0	1.0	-3.9600000381469727
1.0	0.0	0.0	0.0	1.0	-1.0	1.0	0.0	1.0	0.0	-2.630000114440918
1.0	-1.0	-1.0	-1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.7300000190734863
-1.0	1.0	-1.0	1.0	1.0	0.0	0.0	-1.0	0.0	0.0	5.329999923706055
-1.0	-1.0	-1.0	0.0	1.0	0.0	-1.0	0.0	-1.0	-1.0	-0.7699999809265137
1.0	0.0	-1.0	0.0	-1.0	0.0	0.0	-1.0	1.0	-1.0	-5.329999923706055
-1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	5.670000076293945
1.0	1.0	-1.0	-1.0	-1.0	1.0	0.0	0.0	1.0	1.0	-4.400000095367432
1.0	0.0	0.0	1.0	1.0	1.0	-1.0	-1.0	1.0	0.0	0.7699999809265137
1.0	1.0	1.0	-1.0	0.0	-1.0	0.0	1.0	1.0	1.0	-7.449999809265137
-1.0	-1.0	0.0	-1.0	1.0	0.0	-1.0	1.0	-1.0	0.0	1.2899999618530273
1.0	1.0	-1.0	0.0	-1.0	-1.0	1.0	0.0	-1.0	1.0	-7.869999885559082
1.0	1.0	0.0	-1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.25
-1.0	-1.0	1.0	1.0	1.0	1.0	-1.0	-1.0	1.0	1.0	5.739999771118164
1.0	0.0	1.0	0.0	-1.0	-1.0	-1.0	0.0	-1.0	0.0	-8.039999961853027
1.0	1.0	1.0	1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-3.950000047683716
-1.0	0.0	-1.0	0.0	0.0	-1.0	-1.0	1.0	-1.0	1.0	-0.3199999928474426
1.0	-1.0	0.0	-1.0	0.0	1.0	0.0	0.0	1.0	-1.0	-1.190000057220459
1.0	-1.0	-1.0	-1.0	0.0	0.0	0.0	1.0	1.0	0.0	-3.2200000286102295
1.0	0.0	0.0	0.0	1.0	1.0	0.0	-1.0	-1.0	1.0	2.890000104904175
-1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	-1.0	4.670000076293945
