bsal	sal77	fsex	senior	age	educ	target
5040.0	12420.0	0.0	96.0	329.0	3.0	14.0
6300.0	12060.0	0.0	82.0	357.0	3.0	72.0
6000.0	15120.0	0.0	67.0	315.0	3.0	35.5
6000.0	16320.0009765625	0.0	97.0	354.0	2.0	24.0
6000.0	12300.0	0.0	66.0	351.0	2.0	56.0
6840.0	10380.0	0.0	92.0	374.0	3.0	41.5
8100.0	13979.9990234375	0.0	66.0	369.0	4.0	54.5
6000.0	10140.0	0.0	82.0	363.0	2.0	32.0
6000.0	12360.0	0.0	88.0	555.0	2.0	252.0
6900.0	10920.0	0.0	75.0	416.0	3.0	132.0
6900.0	10920.0	0.0	89.0	481.0	2.0	175.0
5400.0	12660.0009765625	0.0	91.0	331.0	3.0	17.5
6000.0	12960.0	0.0	66.0	355.0	3.0	64.0
6000.0	12360.0	0.0	86.0	348.0	3.0	25.0
5100.0	8940.0	1.0	95.0	640.0	3.0	165.0
4800.0	8580.0	1.0	98.0	774.0	2.0	381.0
5280.0	8760.0	1.0	98.0	557.0	0.0	190.0
5280.0	8040.0	1.0	88.0	745.0	0.0	90.0
4800.0	9000.0	1.0	77.0	505.0	2.0	63.0
4800.0	8820.0	1.0	76.0	482.0	2.0	6.0
5400.0	13320.0	1.0	86.0	329.0	3.0	24.0
5520.0	9600.0	1.0	82.0	558.0	2.0	97.0
5400.0	8940.0	1.0	88.0	338.0	2.0	26.0
5700.0	9000.0	1.0	76.0	667.0	2.0	90.0
3900.0	8760.0	1.0	98.0	327.0	2.0	0.0
4800.0	9780.0	1.0	75.0	619.0	2.0	144.0
6120.0	9360.0	1.0	78.0	624.0	2.0	208.5
5220.0	7860.0	1.0	70.0	671.0	0.0	102.0
5100.0	9660.0	1.0	66.0	554.0	0.0	96.0
4380.0	9600.0	1.0	92.0	305.0	0.0	6.25
4290.0	9180.0009765625	1.0	69.0	280.0	2.0	5.0
5400.0	9540.0	1.0	66.0	534.0	3.0	122.0
4380.0	10380.0	1.0	92.0	305.0	2.0	0.0
5400.0	8640.0	1.0	65.0	603.0	0.0	173.0
5400.0	11880.0	1.0	66.0	302.0	2.0	26.0
4500.0	12540.0009765625	1.0	96.0	366.0	0.0	52.0
5400.0	8400.0	1.0	70.0	628.0	2.0	82.0
5520.0	8880.0	1.0	67.0	694.0	2.0	196.0
5640.0	10080.0	1.0	90.0	368.0	2.0	55.0
4800.0	9240.0	1.0	73.0	590.0	2.0	228.0
5400.0	8640.0	1.0	66.0	771.0	0.0	228.0
4500.0	7980.0	1.0	80.0	298.0	2.0	8.0
5400.0	11940.0	1.0	77.0	325.0	2.0	38.0
5400.0	9420.0	1.0	72.0	589.0	3.0	49.0
6300.0	9780.0	1.0	66.0	394.0	2.0	86.5
5160.0	10680.0009765625	1.0	87.0	320.0	2.0	18.0
5100.0	11160.0	1.0	98.0	571.0	3.0	115.0
4800.0	8340.0	1.0	79.0	602.0	0.0	70.0
5400.0	9600.0	1.0	98.0	568.0	2.0	244.0
4020.0	9840.0	1.0	92.0	528.0	1.0	44.0
4980.0	8700.0	1.0	74.0	718.0	0.0	318.0
5280.0	9780.0	1.0	88.0	653.0	2.0	107.0
5700.0	8280.0	1.0	65.0	714.0	3.0	241.0
4800.0	8340.0	1.0	87.0	647.0	2.0	163.0
4800.0	13560.0	1.0	82.0	338.0	2.0	11.0
5700.0	10260.0	1.0	82.0	362.0	3.0	51.0
4380.0	9720.0	1.0	93.0	303.0	2.0	4.5
4380.0	10500.0009765625	1.0	89.0	310.0	2.0	0.0
5400.0	10680.0009765625	0.0	88.0	359.0	2.0	38.0
5400.0	11640.0	0.0	96.0	474.0	2.0	113.0
5100.0	7860.0	0.0	84.0	535.0	2.0	180.0
6600.0	11220.0	0.0	66.0	369.0	3.0	84.0
5100.0	8700.0	0.0	97.0	637.0	2.0	315.0
6600.0	12240.0009765625	0.0	83.0	536.0	3.0	215.5
5700.0	11220.0	0.0	94.0	392.0	3.0	36.0
6000.0	12180.0	0.0	91.0	364.0	2.0	49.0
6000.0	11580.0	0.0	83.0	521.0	3.0	108.0
6000.0	8940.0	0.0	80.0	686.0	2.0	272.0
6000.0	10680.0009765625	0.0	87.0	364.0	3.0	56.0
4620.0	11100.0	0.0	77.0	293.0	2.0	11.5
5220.0	10080.0	0.0	85.0	344.0	2.0	29.0
6600.0	15360.0009765625	0.0	83.0	340.0	3.0	64.0
5400.0	12600.0	0.0	78.0	305.0	2.0	7.0
6000.0	8940.0	0.0	78.0	659.0	0.0	320.0
5400.0	9480.0	0.0	88.0	690.0	3.0	359.0
6000.0	14400.0	0.0	96.0	402.0	4.0	45.5
5700.0	10620.0	1.0	88.0	410.0	3.0	61.0
5400.0	10320.0	1.0	78.0	584.0	3.0	51.0
4440.0	9600.0	1.0	97.0	341.0	3.0	75.0
6300.0	10860.0009765625	1.0	84.0	662.0	3.0	231.0
6000.0	9720.0	1.0	69.0	488.0	2.0	121.0
5100.0	9600.0	1.0	85.0	406.0	2.0	59.0
4800.0	11100.0	1.0	87.0	349.0	2.0	11.0
5100.0	10020.0009765625	1.0	87.0	508.0	4.0	123.0
5700.0	9780.0	1.0	74.0	542.0	2.0	116.5
5400.0	10440.0	1.0	72.0	604.0	2.0	169.0
5100.0	10560.0	1.0	84.0	458.0	2.0	36.0
4800.0	9240.0	1.0	84.0	571.0	4.0	214.0
6000.0	11940.0	1.0	86.0	486.0	3.0	78.5
4380.0	10020.0009765625	1.0	93.0	313.0	0.0	7.5
5580.0	7860.0	1.0	69.0	600.0	2.0	132.5
4620.0	9420.0	1.0	96.0	385.0	2.0	52.0
5220.0	8340.0	1.0	70.0	468.0	2.0	127.0
